"DATA DE RESULTADO DA COMPRA";"DATA DE ABERTURA";"ORGÃO SUPERIOR LICITANTE";"ÓRGÃO / ENTIDADE VINCULADA LICITANTE";"UNIDADE GESTORA";"SITUAÇÃO";"MODALIDADE DA LICITAÇÃO";"INSTRUMENTO LEGAL DE CONTRATAÇÃO";"NÚMERO DA LICITAÇÃO";"OBJETO DA LICITAÇÃO";
"15/09/2021";"08/09/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00033/2021";"Objeto: Pregão Eletrônico -  Aquisição equipamentos elétricos e hidráulicos.";
"23/08/2021";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00008/2021";"Objeto: Pagamento de inscrição de 07(sete) servidores em curso de capacitação.";
"18/08/2021";"09/08/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00029/2021";"Objeto: Pregão Eletrônico -  Aquisição de material de proteção e segurança.";
"12/08/2021";"27/07/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00028/2021";"Objeto: Pregão Eletrônico -  Aquisição de material agrícola.";
"07/07/2021";"06/07/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00019/2021";"Objeto: Pregão Eletrônico -  Aquisição de combustíveis e óleos lubrificantes.";
"25/06/2021";"24/06/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Evento de Suspensão Publicado";"Pregão - Registro de Preço";"Sem informação";"00024/2021";"Objeto: Pregão Eletrônico -  Aquisição de alimentos para animais.";
"29/12/2021";"27/12/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Contrato";"00060/2021";"Objeto: Pregão Eletrônico -  Aquisição de equipamentos ativos de rede de computadores.";
"19/07/2021";"16/07/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00027/2021";"Objeto: Pregão Eletrônico -  Aquisição de animais para pesquisa e abate.";
"21/07/2021";"31/05/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00017/2021";"Objeto: Pregão Eletrônico -  Aquisição de material laboratorial.";
"27/08/2021";"26/08/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00037/2021";"Objeto: Pregão Eletrônico -  Aquisição de recarga e manutenção de extintores de incêndio.";
